title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,360464,"AT, CH, DE, FR, GB, IE, IT"
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,174705,GB
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,184770,"BR, CL, CO, IN, MX"
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20616,US
Enemy at the Gates,movie,"Action, Drama, War",2001,tt0215750,7.5,282911,US
Black Hawk Down,movie,"Action, Drama, History",2001,tt0265086,7.7,433947,CA
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,1546120,"CA, DE, US"
WarGames,movie,"Action, Drama, Sci-Fi",1983,tt0086567,7.1,114706,BR
Total Recall,movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,363705,"BR, CL, CO, MX, US"
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,172465,US
Finding Neverland,movie,"Biography, Drama, Family",2004,tt0308644,7.7,213957,US
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31881,DE
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,279734,US
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,tt0379217,7,68671,DE
The Flintstones,movie,"Comedy, Family, Fantasy",1994,tt0109813,5,88413,AU
The Flintstones in Viva Rock Vegas,movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26064,AU
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,91585,"AT, CH, DE, FR, GB"
Birdman of Alcatraz,movie,"Biography, Crime, Drama",1962,tt0055798,7.8,19916,"CL, CO, MX"
Bringing Up Baby,movie,Comedy,1938,tt0029947,7.8,67546,"DE, US"
City Lights,movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,204289,DE
Pandora's Box,movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12260,GB
The Thomas Crown Affair,movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29371,"BR, CL, CO, MX"
The Thomas Crown Affair,movie,"Crime, Romance, Thriller",1999,tt0155267,6.9,103075,"BR, CL, CO, MX, US"
The Great Dictator,movie,"Comedy, Drama, War",1940,tt0032553,8.4,245987,DE
Mother India,movie,"Action, Comedy, Drama",1957,tt0050188,7.8,10044,"AU, IN, US"
Dead Man,movie,"Adventure, Comedy, Drama",1995,tt0112817,7.5,105138,DE
Dawn of the Dead,movie,Horror,2004,tt0363547,7.2,278939,"AU, US"
Do the Right Thing,movie,"Comedy, Drama",1989,tt0097216,7.9,116248,US
Don't Look Now,movie,"Drama, Horror, Mystery",1973,tt0069995,7.1,65357,GB
Murderers Among Us,movie,"Drama, Romance, Thriller",1946,tt0038769,7.4,2615,DE
The Pink Panther,movie,"Comedy, Crime, Romance",1963,tt0057413,7,58501,"CL, CO, MX"
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,319958,"CA, US"
